Date,Price,Open,High,Low,Vol.,Change %
Dec-18,943.36,973.2,993.91,920.87,-,-3.07%
Nov-18,973.20,983.97,"1,005.66",952.57,4.21B,-1.26%
Oct-18,985.64,"1,060.93","1,065.91",951.33,5.18B,-7.09%
Sep-18,1060.91,"1,057.52","1,070.67","1,022.99",4.21B,0.21%
Aug-18,1058.73,"1,081.35","1,084.11","1,041.57",3.78B,-1.80%
Jul-18,1078.16,"1,034.18","1,081.36","1,029.80",3.96B,3.19%
Jun-18,1044.81,"1,056.19","1,080.94","1,029.71",4.49B,-0.41%
May-18,1049.06,"1,061.94","1,090.20","1,044.21",4.73B,-1.36%
Apr-18,1063.55,"1,005.84","1,063.75",996.93,3.80B,5.12%
Mar-18,1011.72,"1,027.34","1,036.83",986.63,4.55B,-1.62%
Feb-18,1028.34,"1,067.70","1,071.55",982.36,4.44B,-3.26%
Jan-18,1063.00,"1,034.11","1,081.76","1,024.59",4.13B,2.93%
Dec-17,1032.74,"1,039.65","1,052.42","1,027.90",3.50B,-0.64%
Nov-17,1039.35,"1,072.00","1,074.85","1,022.98",4.47B,-2.70%
Oct-17,1068.23,"1,036.60","1,069.74","1,036.21",3.77B,3.06%
Sep-17,1036.54,997.09,"1,036.54",986.82,3.88B,4.53%
Aug-17,991.62,999.91,"1,017.09",971.74,3.64B,-0.42%
Jul-17,995.78,991.2,"1,016.10",982.56,3.85B,0.97%
Jun-17,986.22,"1,020.82","1,036.91",985.74,4.69B,-3.31%
May-17,1019.99,"1,012.45","1,045.01","1,011.23",4.96B,0.90%
Apr-17,1010.93,987.65,"1,015.97",966.42,4.18B,2.50%
Mar-17,986.27,949.42,986.27,949.42,4.83B,4.59%
Feb-17,942.98,923.2,953.05,919.37,4.07B,2.87%
Jan-17,916.70,931.03,946.21,916.7,3.99B,-1.84%
