Trade Date,Total Index Return,Total Index High,Total Index Low,Total Index_ Total Market Value,SM Return,SM  High,SM  Low
2018-01-02,1070.41,1070.87,1056.22,2535237147.0,448.94,462.56,448.69
2018-01-03,1079.29,1079.99,1072.64,2556269491.0,440.09,447.89,439.62
2018-01-04,1084.43,1087.39,1078.32,2568433272.0,438.84,439.87,436.36
2018-01-05,1096.0,1096.96,1087.97,2595847146.0,429.73,436.16,429.5
2018-01-08,1099.6,1100.79,1093.93,2604358045.0,426.84,430.39,426.36
2018-01-09,1096.47,1101.71,1094.46,2596942881.0,426.71,429.22,424.38
2018-01-10,1091.35,1092.5,1086.03,2584819546.0,428.7,434.24,428.6
2018-01-11,1104.0,1104.06,1094.62,2614774305.0,422.85,428.48,422.85
2018-01-12,1114.71,1115.81,1106.54,2640154289.0,416.58,424.53,415.9
2018-01-16,1105.32,1122.3,1102.67,2617911622.0,419.38,421.61,407.22
2018-01-17,1120.15,1122.87,1110.25,2653043402.0,410.32,419.26,409.1
2018-01-18,1120.23,1121.71,1114.33,2653217784.0,410.23,413.44,408.37
2018-01-19,1128.47,1128.47,1117.25,2672730841.0,407.5,411.45,406.43
2018-01-22,1135.91,1135.91,1125.69,2690368030.0,399.04,408.99,399.04
2018-01-23,1141.45,1141.99,1133.66,2703472853.0,392.48,396.76,391.79
2018-01-24,1135.6,1147.24,1130.41,2689634790.0,397.49,401.85,389.19
2018-01-25,1128.07,1148.82,1127.09,2671794227.0,397.88,400.34,391.98
2018-01-26,1146.4,1146.4,1133.42,2715215812.0,385.64,395.02,385.64
2018-01-29,1147.47,1155.82,1137.14,2717739969.0,389.56,391.06,386.01
2018-01-30,1132.2,1141.63,1130.4,2681585297.0,395.97,399.98,392.85
2018-01-31,1136.45,1144.95,1131.81,2691027175.0,393.8,397.74,389.95
2018-02-01,1136.85,1144.72,1126.73,2691989293.0,399.33,401.88,391.48
2018-02-02,1113.01,1128.76,1113.01,2635528993.0,415.71,416.14,400.81
2018-02-05,1076.05,1119.91,1076.05,2548011512.0,448.34,448.41,409.97
2018-02-06,1095.44,1097.84,1057.45,2593208039.0,424.78,465.57,423.76
2018-02-07,1083.95,1103.59,1082.86,2566006181.0,435.49,435.57,418.38
2018-02-08,1045.27,1086.85,1045.11,2474429965.0,472.05,472.28,432.35
2018-02-09,1055.36,1062.72,1020.13,2498336334.0,455.84,493.01,449.74
2018-02-12,1066.66,1074.75,1057.22,2525080216.0,440.16,454.32,434.27
2018-02-13,1065.15,1067.63,1054.92,2521511876.0,436.16,446.34,434.3
2018-02-14,1084.26,1086.64,1058.33,2566175637.0,419.69,440.27,418.47
2018-02-15,1095.77,1095.84,1078.13,2593414505.0,404.64,420.86,404.51
2018-02-16,1096.84,1104.87,1094.32,2595953979.0,407.57,409.01,399.24
2018-02-20,1098.05,1107.85,1093.51,2598392481.0,406.63,411.35,399.61
2018-02-21,1091.48,1109.57,1091.3,2581506499.0,409.09,409.1,394.67
2018-02-22,1090.04,1101.13,1087.88,2578091300.0,408.8,410.96,401.04
2018-02-23,1106.65,1106.68,1092.26,2617378864.0,392.55,405.56,392.44
2018-02-26,1116.15,1116.61,1105.8,2639850785.0,382.14,389.16,382.11
2018-02-27,1099.46,1121.44,1099.43,2600378649.0,391.82,391.82,380.58
2018-02-28,1094.05,1111.59,1094.05,2586768646.0,397.06,397.06,384.6
2018-03-01,1086.98,1104.12,1076.88,2570054054.0,409.13,416.44,392.7
2018-03-02,1097.13,1098.81,1077.28,2594058248.0,401.84,421.96,400.71
2018-03-05,1110.71,1113.33,1091.01,2626175556.0,393.67,408.71,391.27
2018-03-06,1124.87,1124.89,1113.09,2659384992.0,390.07,394.76,387.33
