Date,Value
31/10/2018,3014
30/09/2018,3010
31/08/2018,3002
31/07/2018,2989
30/06/2018,2977
31/05/2018,2969
30/04/2018,2963
31/03/2018,2960
28/02/2018,2957
31/01/2018,2951
31/12/2017,2940
30/11/2017,2925
31/10/2017,2907
30/09/2017,2888
31/08/2017,2873
31/07/2017,2863
30/06/2017,2856
31/05/2017,2855
30/04/2017,2862
31/03/2017,2873
28/02/2017,2890
31/01/2017,2915
31/12/2016,2953
30/11/2016,2995
31/10/2016,3037
30/09/2016,3077
31/08/2016,3117
31/07/2016,3148
30/06/2016,3153
31/05/2016,3152
30/04/2016,3135
31/03/2016,3221
29/02/2016,3303
31/01/2016,3394
31/12/2015,3392
30/11/2015,3392
31/10/2015,3397
30/09/2015,3395
31/08/2015,3368
31/07/2015,3319
30/06/2015,3266
31/05/2015,3237
30/04/2015,3225
31/03/2015,3222
28/02/2015,3217
31/01/2015,3213
31/12/2014,3208
30/11/2014,3197
31/10/2014,3177
30/09/2014,3138
31/08/2014,3081
31/07/2014,3013
30/06/2014,2951
31/05/2014,2888
30/04/2014,2840
31/03/2014,2823
28/02/2014,2835
31/01/2014,2863
31/12/2013,2876
30/11/2013,2882
31/10/2013,2881
30/09/2013,2874
31/08/2013,2850
31/07/2013,2828
30/06/2013,2802
31/05/2013,2782
30/04/2013,2748
31/03/2013,2731
28/02/2013,2716
31/01/2013,2703
31/12/2012,2669
30/11/2012,2643
31/10/2012,2623
30/09/2012,2609
31/08/2012,2592
31/07/2012,2563
30/06/2012,2542
31/05/2012,2530
30/04/2012,2533
31/03/2012,2538
29/02/2012,2534
31/01/2012,2524
31/12/2011,2526
30/11/2011,2546
31/10/2011,2577
30/09/2011,2602
31/08/2011,2607
31/07/2011,2602
30/06/2011,2583
31/05/2011,2564
30/04/2011,2536
31/03/2011,2525
28/02/2011,2517
31/01/2011,2527
31/12/2010,2535
30/11/2010,2553
